row_type,epsilon,M_ligand_monomer_count,figure_point_label,delta_R_FL_minus_R_F,delta_a_FL_minus_a_F,A_equation_value,R_FL_mean,a_FL_mean,R_F_reference,a_F_reference,R_F_squared_mean,N_backbone_monomer_count,v_interaction_parameter
sampled_point,5,1,"(5, 1)",0.0,0.0,0.0,37.98395538330078,17.283754348754883,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,5,3,"(5, 3)",0.3267250061035156,0.002559661865234375,0.02802373468875885,38.3106803894043,17.286314010620117,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,5,5,"(5, 5)",-0.1458282470703125,0.021318435668945312,-0.01206865906715393,37.83812713623047,17.305072784423828,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,10,1,"(10, 1)",-0.2889976501464844,0.13193321228027344,-0.020930934697389603,37.6949577331543,17.415687561035156,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,10,3,"(10, 3)",4.226570129394531,0.9041366577148438,0.321099191904068,42.21052551269531,18.187891006469727,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,10,5,"(10, 5)",14.853752136230469,1.8060894012451172,0.6409823894500732,52.83770751953125,19.08984375,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,15,1,"(15, 1)",17.245548248291016,3.458892822265625,0.7400825619697571,55.2295036315918,20.742647171020508,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,15,3,"(15, 3)",17.82208251953125,2.2395763397216797,0.6811798810958862,55.80603790283203,19.523330688476562,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,15,5,"(15, 5)",15.879749298095703,1.8267707824707031,0.6495999097824097,53.863704681396484,19.110525131225586,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,20,1,"(20, 1)",14.125213623046875,3.169261932373047,0.6981172561645508,52.109169006347656,20.45301628112793,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,20,3,"(20, 3)",5.463687896728516,1.8304862976074219,0.41558152437210083,43.4476432800293,19.114240646362305,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
sampled_point,20,5,"(20, 5)",6.89923095703125,1.5162525177001953,0.46201780438423157,44.88318634033203,18.800006866455078,37.98395538330078,17.283754348754883,1591.2205810546875,15.0,321.55509806430524
