subplot_epsilon,ligand_monomer_count,series_label,row_type,point_index,x_raw,x_normalized,y,fit_alpha,fit_nu,M,plot_color_index
5,1,monoligand (N=1),scatter,0,1,0.071428571,1.9336796998977661,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,1,2,0.14285714285714285,2.4187259674072266,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,2,3,0.21428571428571427,2.6384642124176025,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,3,4,0.2857142857142857,2.8379712104797363,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,4,5,0.35714285714285715,2.8334450721740723,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,5,6,0.42857142857142855,2.9327261447906494,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,6,7,0.5,2.9054837226867676,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,7,8,0.5714285714285714,2.9298572540283203,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,8,9,0.6428571428571429,2.919168710708618,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,9,10,0.7142857142857143,2.880296468734741,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,10,11,0.7857142857142857,2.7717528343200684,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,11,12,0.8571428571428571,2.6378636360168457,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,12,13,0.9285714285714286,2.3725624084472656,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),scatter,13,14,1,1.8906060457229614,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,0,1,0.10142857142857142,2.1766939632179194,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,1,2,0.17285714285714285,2.5059139779426336,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,2,3,0.24428571428571427,2.6961121346303027,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,3,4,0.3157142857142857,2.8179331861019254,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,4,5,0.3871428571428571,2.8952214037134625,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,5,6,0.4585714285714285,2.9384663440446928,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,6,7,0.53,2.9524182783012773,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,7,8,0.6014285714285714,2.9384663440446928,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,8,9,0.6728571428571429,2.8952214037134625,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,9,10,0.7442857142857143,2.8179331861019254,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,10,11,0.8157142857142857,2.6961121346303027,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,11,12,0.8871428571428571,2.5059139779426336,2.2140684681277705,0.6148632415872209,15,0
5,1,monoligand (N=1),fit,12,13,0.9585714285714286,2.1766939632179194,2.2140684681277705,0.6148632415872209,15,0
5,3,polyligand (N=3),scatter,0,1,0.071428571,1.9033912420272827,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,1,2,0.14285714285714285,2.383915424346924,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,2,3,0.21428571428571427,2.738685369491577,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,3,4,0.2857142857142857,2.7893307209014893,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,4,5,0.35714285714285715,2.908900022506714,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,5,6,0.42857142857142855,3.011014223098755,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,6,7,0.5,3.00819993,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,7,8,0.5714285714285714,3.0163180828094482,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,8,9,0.6428571428571429,2.904550075531006,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,9,10,0.7142857142857143,3.0019800662994385,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,10,11,0.7857142857142857,2.8443191051483154,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,11,12,0.8571428571428571,2.678971529006958,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,12,13,0.9285714285714286,2.441678762435913,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),scatter,13,14,1,1.956904411315918,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,0,1,0.10142857142857142,2.186234526964334,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,1,2,0.17285714285714285,2.538355310415412,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,2,3,0.24428571428571427,2.743084675640228,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,3,4,0.3157142857142857,2.8746751515034337,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,4,5,0.3871428571428571,2.958340420984513,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,5,6,0.4585714285714285,3.0052125051589287,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,6,7,0.53,3.0203435523862368,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,7,8,0.6014285714285714,3.0052125051589287,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,8,9,0.6728571428571429,2.958340420984513,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,9,10,0.7442857142857143,2.8746751515034337,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,10,11,0.8157142857142857,2.743084675640228,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,11,12,0.8871428571428571,2.538355310415412,2.2260559110081637,0.6217864918849025,15,0
5,3,polyligand (N=3),fit,12,13,0.9585714285714286,2.186234526964334,2.2260559110081637,0.6217864918849025,15,0
5,5,polyligand (N=5),scatter,0,1,0.071428571,1.848787546157837,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,1,2,0.14285714285714285,2.3860628604888916,2.1510458424594576,0.6289895695075194,15,0
5,5,polyligand (N=5),scatter,2,3,0.21428571428571427,2.5985984802246094,2.1510458424594576,0.6289895695075194,15,0
